sample-id	Panda_or_Diet	Individual	Season	Name_Season	Sequence
#q2:types	categorical	categorical	categorical	categorical	numeric
RRC-3-26	Rhino	Amani	Fall	Amani_Fall	1
RRC-32-28	Rhino	Helene	Fall	Helene_Fall	1
RRC-31-26	Rhino	Victoria	Fall	Victoria_Fall	1
RRC-29-26	Rhino	Wallis	Fall	Wallis_Fall	1
RRC-30-26	Rhino	Nikita	Fall	Nikita_Fall	1
RRC-33-28	Rhino	Livia	Fall	Livia_Fall	1
RRC-3-27	Rhino	Amani	Fall	Amani_Fall	1
RRC-32-29	Rhino	Helene	Fall	Helene_Fall	1
RRC-30-27	Rhino	Nikita	Fall	Nikita_Fall	1
RRC-31-27	Rhino	Victoria	Fall	Victoria_Fall	1
RRC-29-27	Rhino	Wallis	Fall	Wallis_Fall	1
RRC-33-29	Rhino	Livia	Fall	Livia_Fall	1
RRC-3-28	Rhino	Amani	Fall	Amani_Fall	1
RRC-32-30	Rhino	Helene	Fall	Helene_Fall	1
RRC-30-28	Rhino	Nikita	Fall	Nikita_Fall	1
RRC-31-28	Rhino	Victoria	Fall	Victoria_Fall	1
RRC-29-28	Rhino	Wallis	Fall	Wallis_Fall	1
RRC-33-30	Rhino	Livia	Fall	Livia_Fall	1
RRC-3-32	Rhino	Amani	Winter	Amani_Winter	2
RRC-32-34	Rhino	Helene	Winter	Helene_Winter	2
RRC-30-32	Rhino	Nikita	Winter	Nikita_Winter	2
RRC-31-32	Rhino	Victoria	Winter	Victoria_Winter	2
RRC-29-32	Rhino	Wallis	Winter	Wallis_Winter	2
RRC-33-34	Rhino	Livia	Winter	Livia_Winter	2
RRC-3-33	Rhino	Amani	Winter	Amani_Winter	2
RRC-32-35	Rhino	Helene	Winter	Helene_Winter	2
RRC-30-33	Rhino	Nikita	Winter	Nikita_Winter	2
RRC-31-33	Rhino	Victoria	Winter	Victoria_Winter	2
RRC-29-33	Rhino	Wallis	Winter	Wallis_Winter	2
RRC-33-35	Rhino	Livia	Winter	Livia_Winter	2
RRC-3-34	Rhino	Amani	Winter	Amani_Winter	2
RRC-32-36	Rhino	Helene	Winter	Helene_Winter	2
RRC-30-34	Rhino	Nikita	Winter	Nikita_Winter	2
RRC-29-34	Rhino	Wallis	Winter	Wallis_Winter	2
RRC-33-36	Rhino	Livia	Winter	Livia_Winter	2
RRC-31-34	Rhino	Victoria	Winter	Victoria_Winter	2
RRC-3-51	Rhino	Amani	Summer	Amani_Summer	4
RRC-32-53	Rhino	Helene	Summer	Helene_Summer	4
RRC-30-51	Rhino	Nikita	Summer	Nikita_Summer	4
RRC-31-51	Rhino	Victoria	Summer	Victoria_Summer	4
RRC-29-51	Rhino	Wallis	Summer	Wallis_Summer	4
RRC-33-53	Rhino	Livia	Summer	Livia_Summer	4
RRC-3-52	Rhino	Amani	Summer	Amani_Summer	4
RRC-32-54	Rhino	Helene	Summer	Helene_Summer	4
RRC-30-52	Rhino	Nikita	Summer	Nikita_Summer	4
RRC-31-52	Rhino	Victoria	Summer	Victoria_Summer	4
RRC-29-52	Rhino	Wallis	Summer	Wallis_Summer	4
RRC-33-54	Rhino	Livia	Summer	Livia_Summer	4
RRC-3-53	Rhino	Amani	Summer	Amani_Summer	4
RRC-32-55	Rhino	Helene	Summer	Helene_Summer	4
RRC-30-53	Rhino	Nikita	Summer	Nikita_Summer	4
RRC-31-53	Rhino	Victoria	Summer	Victoria_Summer	4
RRC-29-53	Rhino	Wallis	Summer	Wallis_Summer	4
RRC-33-55	Rhino	Livia	Summer	Livia_Summer	4
RRC-3-38	Rhino	Amani	Spring	Amani_Spring	3
RRC-32-40	Rhino	Helene	Spring	Helene_Spring	3
RRC-30-38	Rhino	Nikita	Spring	Nikita_Spring	3
RRC-31-38	Rhino	Victoria	Spring	Victoria_Spring	3
RRC-29-38	Rhino	Wallis	Spring	Wallis_Spring	3
RRC-33-40	Rhino	Livia	Spring	Livia_Spring	3
RRC-3-39	Rhino	Amani	Spring	Amani_Spring	3
RRC-32-41	Rhino	Helene	Spring	Helene_Spring	3
RRC-30-39	Rhino	Nikita	Spring	Nikita_Spring	3
RRC-31-39	Rhino	Victoria	Spring	Victoria_Spring	3
RRC-29-39	Rhino	Wallis	Spring	Wallis_Spring	3
RRC-33-41	Rhino	Livia	Spring	Livia_Spring	3
RRC-3-40	Rhino	Amani	Spring	Amani_Spring	3
RRC-32-42	Rhino	Helene	Spring	Helene_Spring	3
RRC-30-40	Rhino	Nikita	Spring	Nikita_Spring	3
RRC-31-40	Rhino	Victoria	Spring	Victoria_Spring	3
RRC-29-40	Rhino	Wallis	Spring	Wallis_Spring	3
RRC-33-42	Rhino	Livia	Spring	Livia_Spring	3
